Name,Instrument,Chair
Randy,Puce,73
Jean,Mauv,12
Gerald,Yellow,9
Alan,Pink,37
Anna,Violet,63
William,Crimson,68
Philip,Fuscia,43
Adam,Aquamarine,39
Tammy,Teal,75
Anne,Maroon,5
Carlos,Goldenrod,84
Brian,Khaki,52
Christina,Red,69
Brian,Teal,34
Roy,Goldenrod,64
Nicole,Puce,10
Ernest,Turquoise,84
Teresa,Orange,11
Lois,Puce,65
Marilyn,Green,90
Bobby,Goldenrod,22
Steven,Pink,40
Alice,Red,34
Arthur,Blue,90
Frank,Indigo,27
Adam,Blue,66
Jeffrey,Blue,15
Joe,Yellow,71
Jimmy,Purple,71
Phillip,Teal,80
Teresa,Maroon,63
Antonio,Red,68
Emily,Crimson,29
Frances,Puce,83
Christopher,Violet,8
Daniel,Crimson,45
Marie,Mauv,62
Steven,Indigo,31
Jack,Indigo,19
Linda,Yellow,57
Kathleen,Goldenrod,25
Susan,Fuscia,89
Frank,Aquamarine,88
Bonnie,Turquoise,3
Irene,Khaki,45
Randy,Teal,29
Rebecca,Indigo,94
Heather,Purple,19
Annie,Yellow,66
Marie,Indigo,14
